country_id,carbon_emissions,carbon_growth,emissions_transport,emissions_industry,emissions_agriculture
Algeria,5.61,4.94,5.81,1.92,5.92
Angola,7.74,6.93,9.16,4.31,6.89
Argentina,5.25,6.07,7.23,6.01,5.26
Australia,4.45,5.97,6.22,6.34,3.85
Austria,6.36,6.17,6.07,6.01,6.28
Bangladesh,6.16,3.33,2.30,2.55,6.04
Belgium,6.01,6.57,6.87,6.01,6.74
Brazil,4.34,6.82,8.22,6.86,5.76
Bulgaria,6.81,5.28,4.56,2.42,5.48
Cameroon,8.89,4.65,7.63,3.14,4.91
Canada,4.07,6.25,6.56,5.60,7.25
Chile,6.06,5.68,5.54,5.51,7.57
China,1.00,5.83,4.52,6.84,6.50
Colombia,6.23,6.49,4.82,6.43,6.10
Costa Rica,8.67,5.70,4.65,2.03,5.57
Czech Republic,5.89,6.28,5.05,6.01,5.72
Denmark,7.12,8.14,5.34,4.03,5.99
Dominican Republic,7.47,4.42,3.66,6.01,5.44
Ecuador,6.99,6.08,4.29,7.74,9.24
Egypt,5.03,4.44,6.61,4.31,6.42
Ethiopia,8.08,1.38,1.00,2.42,4.75
Finland,6.79,7.52,7.12,5.10,6.84
France,4.70,6.93,7.32,6.78,6.64
Germany,3.81,7.17,6.77,5.66,7.17
Ghana,7.96,5.47,5.90,2.23,5.31
Greece,6.42,7.36,6.70,7.20,6.77
Guatemala,7.81,2.36,1.74,6.01,5.17
"Hong Kong, China",6.81,7.03,5.54,7.02,1.00
Hungary,6.74,4.89,2.62,4.96,5.56
Iceland,10.00,5.38,4.38,6.01,6.54
India,2.52,3.88,3.38,4.67,6.25
Indonesia,4.08,3.41,5.83,3.47,4.48
Iran,4.01,5.39,6.19,5.13,8.85
Ireland,7.02,6.00,5.66,6.01,5.27
Israel,6.45,7.09,5.66,7.46,4.19
Italy,4.66,6.86,7.31,7.13,6.42
Japan,3.34,7.57,7.99,6.78,7.40
Kazakhstan,5.08,7.77,4.48,10.00,1.58
Kenya,7.87,3.25,1.51,6.01,6.04
Kuwait,6.04,6.00,4.69,6.58,2.57
Luxembourg,8.50,7.19,8.21,6.01,6.54
Malaysia,5.01,5.30,6.70,4.73,6.13
Mexico,4.28,6.24,6.71,5.90,6.95
Morocco,6.47,4.80,5.08,6.17,5.85
Netherlands,5.46,6.61,7.54,5.18,5.95
New Zealand,7.14,6.03,5.26,6.01,6.63
Nigeria,5.85,3.49,1.86,4.96,3.48
Norway,7.00,6.14,8.23,6.01,10.00
Pakistan,5.18,2.13,1.46,2.28,1.00
Paraguay,8.60,1.12,1.00,2.57,5.83
Peru,6.64,5.14,4.91,6.78,6.06
Philippines,5.60,2.01,2.83,5.04,5.77
Poland,4.70,5.74,2.35,5.56,5.76
Portugal,6.70,5.41,6.15,4.77,1.00
Qatar,6.05,4.09,5.04,2.65,6.54
Romania,6.26,5.87,4.83,5.47,5.81
Russia,2.93,6.09,6.20,5.24,5.66
Saudi Arabia,4.19,5.76,6.56,4.62,6.11
Singapore,6.70,5.41,7.40,4.96,1.00
Slovakia,7.14,6.27,4.59,5.10,6.90
South Africa,4.34,6.28,6.85,6.67,7.18
South Korea,3.96,5.66,5.77,6.45,6.74
Spain,4.92,5.62,5.71,6.38,5.17
Sweden,7.04,7.09,9.76,6.01,6.79
Switzerland,7.00,7.80,8.05,6.01,6.88
Taiwan,4.88,5.87,6.51,7.66,6.80
Thailand,4.95,6.49,4.74,5.53,8.12
Turkey,4.48,3.30,2.41,2.88,5.33
Uganda,9.08,4.66,6.21,5.60,4.04
Ukraine,5.26,10.00,10.00,8.94,6.95
United Arab Emirates,5.19,5.31,6.08,5.67,4.53
United Kingdom,4.54,8.63,6.50,7.62,6.08
United States,1.71,6.46,6.38,5.64,6.15
Uruguay,8.89,7.63,5.54,1.00,6.89
Vietnam,5.02,1.00,4.47,3.57,6.46
Zambia,8.80,1.00,7.23,1.00,6.99
