country_id,patents,energy_investment,foodtech_investment
Algeria,1,1.51,1
Angola,1,3.72,3.68
Argentina,5.05,7.07,4.73
Australia,4.53,2.7,2.6
Austria,6.81,4.46,5.75
Bangladesh,1,2.24,4.97
Belgium,6.66,4.99,5.19
Brazil,5.11,7.25,3.21
Bulgaria,3.79,1,2.31
Cameroon,1,6.26,5.36
Canada,4.78,4.89,5.38
Chile,5,9.23,3.87
China,10,5.04,4.33
Colombia,5,5.16,4.69
Costa Rica,1,8.34,3.56
Czech Republic,5.31,3.51,5.78
Denmark,5.28,6.95,5.72
Dominican Republic,5.29,7.29,1
Ecuador,1,4.64,4.73
Egypt,4.44,8.79,3.79
Ethiopia,1,7.54,1.88
Finland,9.17,6.31,3.85
France,5.7,6.39,1
Germany,5.7,5.24,5.06
Ghana,1,5.2,4.12
Greece,4.91,4.72,2.89
Guatemala,1,6.94,4.64
"Hong Kong, China",5.41,4.96,2.74
Hungary,5.63,1,1
Iceland,4.22,5.77,1
India,4.99,7.57,4.42
Indonesia,1,6.65,5.5
Iran,5,1,5.02
Ireland,6.31,4.79,4.26
Israel,5,2.27,3.37
Italy,5.36,6.54,4.98
Japan,1.01,5.13,5.53
Kazakhstan,8.49,7.5,4.71
Kenya,1,9.7,3.81
Kuwait,4.72,3.96,4.43
Luxembourg,9.94,5.67,4.74
Malaysia,5,4.15,3.3
Mexico,5,7.59,5.31
Morocco,5,10,1
Netherlands,4.78,5.78,4.43
New Zealand,5.36,1,4.68
Nigeria,1,5.11,5.11
Norway,4.54,6.11,6.11
Pakistan,1,7.97,7.97
Paraguay,1,1,1
Peru,1,6.75,6.75
Philippines,4.94,6.64,6.64
Poland,7,1,1
Portugal,5.41,5.73,5.73
Qatar,1,1,1
Romania,5,1,1
Russia,8.11,4.09,4.09
Saudi Arabia,4.87,6.36,6.36
Singapore,5.6,8.41,8.41
Slovakia,7.6,1,1
South Africa,3.97,7.59,7.59
South Korea,2.7,3.62,3.62
Spain,4.79,6.96,6.96
Sweden,9.64,1.93,1.93
Switzerland,6.74,1.84,1.84
Taiwan,3.82,5.3,5.3
Thailand,5,6.2,6.2
Turkey,5.19,7.57,7.57
Uganda,1,8.61,8.61
Ukraine,1,8.46,8.46
United Arab Emirates,5.53,7.19,7.19
United Kingdom,5.38,5.3,5.3
United States,5.27,4.97,4.97
Uruguay,5.42,9.72,9.72
Vietnam,5.1,7.64,7.64
Zambia,1,6.79,6.79
