country_id,climate_action,carbon_pricing,agriculture_strategy,pandemic_pivot
Algeria,1.00,1.00,5.00,4.00
Angola,1.00,1.00,9.00,2.50
Argentina,1.00,4.00,5.00,3.50
Australia,5.00,7.00,5.00,4.50
Austria,5.00,7.00,9.00,4.00
Bangladesh,1.00,1.00,9.00,4.50
Belgium,6.00,7.00,9.00,4.00
Brazil,5.00,2.00,5.00,5.00
Bulgaria,5.00,7.00,5.00,3.50
Cameroon,1.00,1.00,9.00,3.00
Canada,6.00,8.00,5.00,5.00
Chile,5.00,4.00,9.00,3.50
China,3.00,3.00,5.00,5.50
Colombia,6.00,4.00,9.00,4.50
Costa Rica,8.00,4.00,9.00,6.00
Czech Republic,5.00,7.00,9.00,3.50
Denmark,7.00,8.00,9.00,6.00
Dominican Republic,5.00,1.00,5.00,3.00
Ecuador,5.00,1.00,1.00,2.50
Egypt,1.00,1.00,9.00,4.00
Ethiopia,8.00,1.00,9.00,3.00
Finland,4.00,8.00,5.00,5.50
France,6.00,8.00,9.00,7.00
Germany,3.00,7.00,9.00,6.00
Ghana,1.00,1.00,1.00,4.50
Greece,4.00,7.00,1.00,5.00
Guatemala,1.00,1.00,1.00,2.50
"Hong Kong, China",3.00,1.00,9.00,2.00
Hungary,4.00,7.00,9.00,3.50
Iceland,6.00,8.00,9.00,5.00
India,8.00,1.00,9.00,6.00
Indonesia,2.00,2.00,9.00,4.00
Iran,2.00,1.00,1.00,1.50
Ireland,5.00,8.00,9.00,5.00
Israel,5.00,1.00,9.00,4.50
Italy,6.00,7.00,5.00,3.00
Japan,2.00,4.00,5.00,2.50
Kazakhstan,4.00,7.00,9.00,3.50
Kenya,8.00,1.00,1.00,4.50
Kuwait,4.00,1.00,1.00,4.00
Luxembourg,6.00,7.00,1.00,4.50
Malaysia,2.00,1.00,5.00,5.00
Mexico,5.00,4.00,9.00,2.50
Morocco,9.00,1.00,5.00,4.50
Netherlands,7.00,7.00,9.00,5.00
New Zealand,7.00,7.00,9.00,8.50
Nigeria,1.00,1.00,9.00,5.50
Norway,5.00,8.00,9.00,5.00
Pakistan,2.00,1.00,9.00,4.00
Paraguay,1.00,1.00,1.00,2.00
Peru,4.00,1.00,1.00,2.50
Philippines,8.00,1.00,1.00,3.50
Poland,5.00,8.00,9.00,4.00
Portugal,4.00,8.00,9.00,4.00
Qatar,1.00,1.00,1.00,3.50
Romania,4.00,7.00,5.00,3.50
Russia,1.00,1.00,1.00,1.50
Saudi Arabia,1.00,1.00,5.00,2.50
Singapore,3.00,4.00,9.00,7.50
Slovakia,5.00,7.00,1.00,4.00
South Africa,2.00,4.00,1.00,2.50
South Korea,3.00,7.00,5.00,5.50
Spain,7.00,8.00,5.00,4.50
Sweden,6.00,8.00,1.00,3.50
Switzerland,5.00,8.00,9.00,3.50
Taiwan,3.00,2.00,9.00,3.50
Thailand,5.00,2.00,9.00,3.50
Turkey,1.00,2.00,9.00,1.50
Uganda,1.00,1.00,1.00,3.00
Ukraine,1.00,4.00,5.00,2.00
United Arab Emirates,3.00,1.00,5.00,4.00
United Kingdom,6.00,8.00,1.00,5.00
United States,1.00,5.00,9.00,4.00
Uruguay,5.00,1.00,9.00,5.00
Vietnam,1.00,2.00,9.00,3.50
Zambia,1.00,1.00,9.00,3.00
